slug,size,replicate,stage,job_id,nodename,partition,time_sec,dc_node_power_w,pck_power_w,dram_power_w,mem_gbs,io_mbs,cpu_gflops,cpu_util,cpi,avg_cpufreq_khz,l3_misses,gpu0_power_w,gpu0_gflops,n_in,n_out
amst_size400000_rep2,400000,2,string_normalization,23594679,tcn1007,genoa,323.091,305.007,224.476,0,0.133828,2.89485,0.000105,95,0.310459,2376000,0,0,0,,
amst_size400000_rep2,400000,2,heuristic_filtering,23594681,tcn940,genoa,2386.46,278.999,220.091,0,0.199961,0.615069,0.011953,97,0.362562,2376000,0,0,0,,
dedupval_size100000_rep1,100000,1,data_splitting,23596390,tcn975,genoa,12.2715,473.779,338.301,0,100.328,34.1494,0.000287,60,0.341499,2376000,0,0,0,,
dedupval_size100000_rep1,100000,1,string_normalization,23596392,tcn975,genoa,79.4773,523.659,384.095,0,90.4292,3.17328,0.000108,98,0.3108,2376000,0,0,0,,
dedupval_size100000_rep1,100000,1,heuristic_filtering,23596394,tcn975,genoa,598.876,640.424,469.384,0,183.12,0.842719,0.011963,97,0.360582,2376000,0,0,0,,
dedupval_size100000_rep1,100000,1,deduplication,23596448,tcn617,genoa,89.2899,807.974,285.011,0,124.549,10.7502,3.94e-05,51.5333,0.448616,2122596,0,0,0,,
demolive_size10000_rep1,10000,1,data_splitting,23844725,tcn780,genoa,5.15816,428.417,335.635,0,178.274,10.6478,7.5e-05,29,0.416044,2376000,0,0,0,,
demolive_size10000_rep1,10000,1,string_normalization,23844727,tcn1137,genoa,10.7273,578.416,417.431,0,330.529,4.27286,8.3e-05,80,0.320706,2376000,0,0,0,,
demolive_size10000_rep1,10000,1,heuristic_filtering,23844729,tcn587,genoa,63.4917,540.496,399.403,0,210.514,3.34709,0.011347,94,0.361548,2376000,0,0,0,,
demolive_size10000_rep1,10000,1,deduplication,23846682,tcn1086,genoa,14.4235,1363.97,256.589,0,140.136,5.43352,1.60667e-05,25.2,0.538758,2.03419e+06,0,0,0,,
epd_n1_size1000_rep1,1000,1,data_splitting,23843619,tcn1205,genoa,3.88413,186.882,211.104,0,0,527.367,2e-05,51,0.473884,2376000,0,0,0,,
epd_n1_size1000_rep1,1000,1,string_normalization,23843621,tcn1252,genoa,122.753,283.892,219.318,0,0.219307,3.24001,3e-06,95,0.258317,2376000,0,0,0,,
epd_n1_size1000_rep1,1000,1,heuristic_filtering,23843623,tcn743,genoa,671.718,306.876,233.817,0,4.14048,0.826975,0.012419,98,0.305853,2376000,0,0,0,,
epd_n1_size1000_rep1,1000,1,deduplication,23843625,tcn643,genoa,133.533,375.79,186.562,0,0.216504,10.8002,1.84706e-05,36.7647,0.551523,2376000,0,0,0,,
epd_n1_size1000_rep2,1000,2,data_splitting,23843649,tcn781,genoa,2.6491,518.896,220.799,0,2.29747,773.23,3e-05,75,0.469693,2376000,0,0,0,,
